theta,tx,ty
-5.84157e-05,-0.0614732,-0.00773022
-9.39806e-05,-0.104056,-0.0100829
-0.000174613,-0.185651,0.0183279
-0.000228897,-0.265895,0.0246114
-0.000303084,-0.367914,0.0240373
-0.000373177,-0.465231,0.0500736
-0.000428351,-0.584377,0.0723838
-0.0005121,-0.685625,0.0932986
-0.000601306,-0.797472,0.107489
-0.000678253,-0.862356,0.084115
-0.000780144,-0.97864,0.089176
-0.000846964,-1.09362,0.0770362
-0.000895197,-1.17345,0.0546918
-0.000983575,-1.21979,0.00677107
-0.00102941,-1.24491,-0.0314697
-0.00107143,-1.3324,-0.0259766
-0.00115311,-1.3979,-0.0452686
-0.00116858,-1.50702,-0.0360025
-0.00114098,-1.60209,-0.00457374
