theta,tx,ty
-5.65648e-05,2.86299,-0.0616101
-0.000119801,5.75329,-0.111695
-0.000200622,8.65259,-0.188636
-0.000264928,11.542,-0.207693
-0.000308271,14.4204,-0.267089
-0.000360646,17.2852,-0.325453
-0.000248162,20.1779,-0.720105
0.00209274,12.1097,1.69616
-0.000141074,7.71242,0.583268
0.00128982,5.21331,0.0204494
-0.00246147,5.34953,1.07725
-0.000638551,5.91635,1.16115
0.0014337,4.4951,1.32648
0.00422434,4.83647,1.92479
0.00355636,4.37082,1.4944
0.000458066,3.92196,2.26293
0.000699297,5.05068,2.40915
-0.000749436,6.06698,2.47835
2.37703e-05,3.1875,1.8368
