theta,tx,ty
-1.23207e-06,0.00251515,-7.45965e-05
-3.39392e-05,-0.00508959,-0.00284017
-3.96088e-05,-0.00439974,-6.77602e-05
-5.06757e-05,0.000645685,0.000608173
-5.90347e-05,0.00767314,0.00161791
-7.40415e-05,0.0279494,0.00895941
-7.28871e-05,0.0650838,0.016698
-8.88245e-05,0.0705034,0.021297
-9.93424e-05,0.0798052,0.0237986
-0.000126967,0.0855409,0.029817
-0.000155335,0.0912022,0.0357235
-0.000172132,0.0971844,0.0432009
-0.000182113,0.0993168,0.0462438
-0.000234042,0.0989612,0.0620638
-0.000270513,0.0978003,0.0710237
-0.000285865,0.0945965,0.0710459
-0.000298123,0.0921309,0.0688117
-0.000326436,0.0884331,0.0717961
-0.000350331,0.0882228,0.0768487
