theta,tx,ty
-6.6145e-05,2.00344,-0.740956
-0.000132605,4.00175,-1.3175
-0.000131526,6.10093,-2.02493
-0.000239007,8.16058,-2.64409
-0.000272975,10.2749,-3.29963
-0.000239749,12.3323,-3.91008
-0.000266503,14.5174,-4.60643
-0.00026411,16.5683,-5.20787
-0.000303485,18.7934,-5.83355
0.00409716,15.9093,-3.53172
0.00157962,9.93125,-0.0247833
0.000391721,6.87333,0.112573
0.000325733,6.93091,0.275204
-0.000524683,7.47303,0.791627
-0.00329958,7.10342,-0.292649
-0.00182692,4.44385,-1.36259
-0.00116848,3.88144,-0.765922
-0.00144186,3.60757,-1.10121
-0.00170332,2.73952,-0.259818
