theta,tx,ty
-0.000202447,2.5297,-0.25196
-0.000268019,4.93524,-0.585445
-0.000294017,7.37632,-0.813422
-0.000414414,9.83849,-0.94776
-0.000535816,12.2591,-1.11168
-0.000566308,14.7315,-1.26648
-0.000668818,17.0847,-1.33383
-0.000808287,19.4792,-1.4094
-0.000872758,21.9293,-1.4755
-0.000962927,24.4556,-1.44953
0.00078943,16.1006,0.449774
0.0013873,9.11876,0.628911
0.000959814,14.631,0.658568
0.00231016,10.298,1.39072
0.00547796,9.07042,0.184428
0.00433086,7.1894,0.606943
0.00629614,7.93242,0.165857
0.00548553,5.09844,-0.131742
0.00633093,4.65013,-0.401305
