theta,tx,ty
8.51969e-05,-0.148284,0.0202551
7.62516e-05,-0.124294,0.00387178
0.000132194,-0.225079,-0.00784278
9.09432e-05,-0.169697,-0.0190222
0.000100895,-0.158252,-0.0562279
9.02952e-05,-0.140656,-0.0571792
0.000130149,-0.153879,-0.10045
0.000117847,-0.12196,-0.100923
0.000124617,-0.0980857,-0.165041
0.000149733,-0.120352,-0.195681
0.000120158,-0.0549171,-0.256274
0.000180632,-0.0721542,-0.273768
9.94173e-05,-0.0486459,-0.31132
0.000156878,-0.0732693,-0.348365
0.000126082,-0.0406226,-0.437942
0.000148264,-0.0423146,-0.401423
0.000128492,-0.0528106,-0.488235
0.000150491,-0.0535141,-0.498118
0.000166997,-0.0582926,-0.538745
0.000147003,-0.00423845,-0.586541
0.000115773,0.00922511,-0.565754
6.29515e-05,0.013971,-0.581087
0.000111779,0.015469,-0.658791
7.8755e-05,0.02708,-0.634455
7.50506e-05,0.0183103,-0.681689
6.53725e-05,0.0541328,-0.66154
6.91824e-05,0.122251,-0.727434
2.78957e-05,0.121492,-0.74149
6.35054e-05,0.0583654,-0.790019
4.87367e-05,0.127349,-0.823117
0.00010152,0.0745671,-0.855271
2.12638e-05,0.0783051,-0.881067
6.98728e-05,0.163745,-0.880363
-1.46689e-05,0.0866484,-0.800732
-4.67619e-05,0.203148,-0.900124
5.28188e-05,0.196534,-0.885911
6.91988e-06,0.214752,-0.960753
3.40016e-05,0.125526,-0.886066
1.15568e-05,0.196339,-0.977137
-3.77586e-05,0.189901,-0.914383
-4.80869e-06,0.18273,-0.977774
3.09104e-05,0.248208,-1.0204
-1.01372e-05,0.196013,-0.996149
-1.78214e-05,0.211574,-1.02762
1.44741e-05,0.209013,-1.00232
2.98691e-05,0.209206,-1.06617
3.37767e-05,0.154219,-1.01301
3.34552e-05,0.215266,-1.0802
6.74753e-05,0.134823,-1.11295
3.17313e-06,0.139935,-1.10021
4.96208e-05,0.158267,-1.16449
2.57702e-05,0.310395,-1.16622
2.89913e-05,0.345609,-1.2135
-2.70863e-05,0.381864,-1.15329
1.76728e-05,0.466566,-1.24708
1.67981e-05,0.587134,-1.23995
-1.03766e-05,0.684734,-1.2225
5.60775e-05,0.640602,-1.20722
1.87163e-05,0.769351,-1.22325
-4.2521e-06,0.766342,-1.21638
-2.70889e-06,0.766754,-1.22512
2.39371e-05,0.795031,-1.27584
3.7672e-05,0.836042,-1.3668
-2.77322e-06,0.790445,-1.25028
2.65547e-05,0.813047,-1.25569
1.00896e-05,0.93114,-1.24796
-3.49697e-05,0.863012,-1.20794
-2.49778e-05,0.941944,-1.19768
1.58439e-05,0.980118,-1.16757
-4.32525e-06,0.977005,-1.20126
-8.95609e-06,0.997361,-1.20191
2.34244e-05,1.02373,-1.13512
-4.26976e-05,1.07112,-1.06107
3.4649e-05,1.07108,-1.11455
-5.18804e-05,1.16116,-1.04109
2.57773e-05,1.0953,-1.12861
-7.17486e-06,1.10847,-1.03012
-5.0154e-06,1.15403,-1.04241
-4.39441e-05,1.1846,-1.08799
2.40031e-05,1.25293,-1.02533
4.36195e-06,1.21644,-1.0262
1.73185e-06,1.22857,-1.03273
6.01208e-06,1.26093,-1.02747
1.03825e-05,1.28789,-1.01424
1.90093e-05,1.33373,-1.0117
1.64055e-05,1.35676,-1.00057
1.92806e-05,1.40919,-0.991362
8.29276e-06,1.47173,-0.998715
4.61215e-05,1.44718,-0.9455
-1.51911e-06,1.45584,-0.944745
-5.64178e-06,1.59352,-0.966726
3.7972e-05,1.5056,-0.956962
1.057e-05,1.51839,-0.943965
-1.15814e-05,1.52356,-0.871671
-1.53362e-05,1.65383,-0.96163
2.73031e-05,1.53627,-0.852771
-2.25986e-05,1.61984,-0.928734
-3.92869e-05,1.69604,-0.896202
7.26914e-06,1.70012,-0.917246
3.35644e-05,1.72883,-0.823884
4.22168e-05,1.72355,-0.859099
2.01395e-05,1.74394,-0.816203
6.48459e-06,1.74435,-0.830887
1.07236e-05,1.73946,-0.814991
2.18721e-06,1.73456,-0.771839
-2.85333e-05,1.7716,-0.781787
1.19014e-05,1.82886,-0.784226
-1.25389e-05,1.73591,-0.784991
-2.91314e-05,1.89353,-0.762222
-2.10541e-05,1.87441,-0.776664
-3.90905e-05,1.84851,-0.743599
3.08492e-05,1.89721,-0.758808
-4.01416e-05,1.92648,-0.740997
1.98421e-05,1.92762,-0.715851
2.93966e-05,1.90268,-0.698722
-1.05893e-05,1.92547,-0.691418
3.06258e-06,1.90919,-0.748548
-2.57156e-06,1.9152,-0.6508
-1.79482e-06,2.0615,-0.6774
2.79366e-06,1.9741,-0.701566
1.32482e-05,2.07032,-0.73934
3.54574e-06,2.00212,-0.563389
1.97392e-05,2.01615,-0.621319
1.51937e-05,2.02072,-0.611964
1.41047e-05,2.0434,-0.624894
1.59655e-05,2.04013,-0.680803
8.45959e-07,2.03076,-0.525643
2.11596e-05,2.05188,-0.548306
-2.02424e-05,2.11778,-0.612667
1.51347e-05,2.03454,-0.596252
-8.37443e-06,2.06328,-0.534516
1.76192e-05,2.06238,-0.519834
-3.19935e-05,2.11589,-0.522546
-1.1637e-05,2.12339,-0.548513
-4.1664e-05,2.09352,-0.523281
-1.61392e-05,2.07936,-0.512429
-1.57502e-05,2.09033,-0.53787
5.29044e-05,2.1925,-0.589779
