theta,tx,ty
-5.20172e-06,-0.0225502,0.00366623
-5.78947e-06,-0.0581893,0.00553598
-1.2005e-05,-0.0989866,0.00664024
4.27234e-06,-0.17798,-0.000985903
5.29634e-06,-0.218825,-0.00729867
5.21266e-08,-0.24711,-0.0163188
-9.44351e-07,-0.27028,-0.0236706
-1.85684e-05,-0.332799,-0.0337779
-2.05554e-05,-0.355928,-0.0366759
-1.37421e-05,-0.442712,-0.0390997
-6.04085e-06,-0.561178,-0.0421434
-1.41661e-05,-0.578973,-0.0401505
-2.43376e-05,-0.598262,-0.037013
-6.31029e-05,-0.718293,-0.0303638
-5.21299e-05,-0.789035,-0.0286019
-4.53139e-05,-0.843214,-0.0280849
-6.05346e-05,-0.921844,-0.0184403
-6.55046e-05,-0.989659,-0.00758149
-6.16034e-05,-1.03788,0.00117763
