theta,tx,ty
7.46425e-06,1.82247,1.06055
7.94541e-07,3.63757,2.00876
8.33311e-08,5.44258,3.01322
-4.32326e-05,7.35576,3.97956
-3.13663e-06,9.37891,5.0189
3.37656e-05,11.275,5.99588
8.33964e-05,13.3059,7.09763
0.000316291,15.1688,7.96407
-0.0016065,5.20968,5.50002
0.000371833,4.62017,4.23965
-0.00155673,4.95599,4.33263
-4.00985e-05,5.63078,5.76812
-0.00226041,4.90012,4.1589
-0.00244258,4.71966,3.35484
0.000165396,4.71026,1.12743
-0.00230585,4.37383,2.10082
8.96706e-05,5.17382,1.17569
0.000783988,5.59212,1.36723
0.000414673,4.63094,0.850835
