theta,tx,ty
-3.21324e-05,2.20668,-1.56302
-3.20874e-05,4.41207,-3.22201
-0.00010212,6.65055,-4.91424
-0.00010819,8.90425,-6.57607
-0.000149045,11.0736,-8.13327
-0.000183637,13.3519,-9.80916
-0.000248515,15.6211,-11.4415
-0.000166027,17.8812,-13.0601
0.00274911,20.62,-13.9417
-0.00198633,8.93947,-11.1642
-0.003823,6.58995,-8.18394
0.00310038,6.77331,-4.97457
0.000643093,8.13917,-6.55632
0.00447975,6.55339,-6.75901
0.00355674,5.93188,-6.78562
0.00285858,4.51489,-6.60072
0.00447879,5.11987,-8.06077
0.00437139,4.33826,-7.08351
-0.000294916,3.28401,-5.89934
