theta,tx,ty
-9.17393e-05,1.3589,0.732817
-0.000213578,2.74695,1.35969
-0.00019015,4.081,2.06354
-0.000316826,5.40056,2.81749
-0.000423884,6.69312,3.48537
-0.000474878,7.87155,4.22612
-0.00054903,9.12175,5.01338
-0.000603265,10.1986,5.80967
-0.000661593,11.1534,6.60208
-0.00060878,11.9529,7.46255
-0.00114885,12.8921,8.69638
0.000321864,13.0443,7.20617
0.000734627,2.14035,5.61625
0.00273835,2.32125,4.33404
0.000730683,4.36018,5.02905
0.00102747,3.68798,3.61544
0.00124131,2.74829,3.2911
0.000169933,3.08194,2.23677
0.00194178,4.83179,6.16064
