theta,tx,ty
2.6796e-05,1.08093,0.432568
3.06252e-05,2.29641,0.89583
0.000109385,3.40346,1.28027
0.000200245,4.55711,1.77052
0.000189013,5.73684,2.15123
0.000265283,6.95419,2.56959
0.000267866,8.19685,3.04148
0.000330466,9.46402,3.45218
0.0004059,10.7717,3.89976
0.000404062,11.9968,4.28805
0.000369268,13.4402,4.77035
0.000419974,14.749,5.18044
0.000477513,16.2901,5.59064
0.000380216,17.7572,5.97717
0.000447858,19.451,6.47363
0.000597653,21.2999,6.91707
0.00412674,12.9336,8.69986
-0.000915697,10.8787,6.07327
-0.00117384,5.64218,6.45061
