theta,tx,ty
-4.89536e-05,-0.159377,-0.00884517
-5.53327e-05,-0.346788,-0.00949424
-6.16192e-05,-0.521161,-0.00532175
-0.000119934,-0.724679,-0.0127347
-0.000182935,-0.902809,-0.0324609
-0.000227338,-1.00042,-0.06077
-0.000256663,-1.16572,-0.0776631
-0.000283861,-1.28507,-0.0976151
-0.000335708,-1.50032,-0.165924
-0.000387879,-1.71888,-0.220535
-0.000395272,-1.90505,-0.244012
-0.000428068,-2.0481,-0.262199
-0.000481008,-2.19214,-0.298888
-0.000527752,-2.31193,-0.329632
-0.000554787,-2.48982,-0.343738
-0.000604345,-2.61954,-0.34835
-0.000626571,-2.79257,-0.381205
-0.000667921,-2.90326,-0.403373
-0.000686814,-2.9656,-0.418642
