theta,tx,ty
-7.98009e-05,-0.324268,-0.515885
-7.90295e-05,-0.62099,-0.997883
-5.93165e-05,-0.977494,-1.5006
-7.0347e-05,-1.31915,-2.04829
-0.000119314,-1.76238,-2.67003
-6.61331e-05,-2.16091,-3.235
-5.36342e-05,-2.66904,-3.85658
-0.000153717,-3.07877,-4.48197
-0.000155436,-3.61119,-5.13576
-7.70121e-05,-4.0716,-5.83456
-0.000129599,-4.59314,-6.43696
-0.00017519,-5.07869,-7.12325
-0.000122689,-5.62672,-7.83138
-0.000280103,-6.19851,-8.49666
-0.000333267,-6.79661,-9.19918
-0.000410188,-7.35141,-9.90689
-0.000423759,-7.89733,-10.7378
-9.3086e-05,-8.57686,-11.3273
0.00716487,-1.78927,-5.59582
