theta,tx,ty
-4.65433e-05,-0.0855151,0.0536398
-7.37079e-05,-0.11625,0.0616442
-0.000100992,-0.178476,0.0745339
-0.000140126,-0.247127,0.100194
-0.000215519,-0.34248,0.160849
-0.00029429,-0.434353,0.220495
-0.000315538,-0.523132,0.245707
-0.000328365,-0.592944,0.262921
-0.000413879,-0.700883,0.308726
-0.000454547,-0.759086,0.337099
-0.000509868,-0.844415,0.348994
-0.00055097,-0.923412,0.361318
-0.000589426,-1.00221,0.373176
-0.000632483,-1.07093,0.386623
-0.000671466,-1.1673,0.400689
-0.000698544,-1.25457,0.422247
-0.000751592,-1.2769,0.449603
-0.00080112,-1.30432,0.471138
-0.000864157,-1.35412,0.456118
