theta,tx,ty
2.45553e-05,0.840251,-0.0171884
3.74373e-05,1.58617,-0.0277274
2.08711e-05,2.37852,-0.037099
4.74631e-05,3.28177,-0.0515071
7.83559e-05,4.22165,-0.066871
8.24267e-05,5.10458,-0.0879304
0.000109143,6.1175,-0.119248
0.000175181,7.0743,-0.135096
0.000229205,8.18232,-0.153107
0.000239302,9.24727,-0.156859
0.000275507,10.2107,-0.140795
0.000280434,11.3046,-0.193038
0.000298928,12.44,-0.214677
0.00042437,13.5967,-0.2224
0.000422196,14.6712,-0.237475
0.000407481,15.915,-0.253189
0.000343634,17.1056,-0.22528
0.000391029,18.2373,-0.267552
0.000286012,19.4908,-0.300529
