theta,tx,ty
-6.14594e-05,-0.0396117,0.0642041
-0.000113531,-0.0770144,0.131369
-0.000156255,-0.138495,0.181438
-0.00019676,-0.187338,0.242435
-0.000298757,-0.24589,0.361983
-0.000363211,-0.30213,0.452564
-0.000389758,-0.387643,0.504219
-0.000401375,-0.512235,0.557795
-0.00047768,-0.592431,0.621966
-0.000496159,-0.695939,0.664298
-0.0005012,-0.850648,0.762717
-0.000531001,-0.889163,0.777072
-0.000610826,-1.11756,0.821642
-0.000674003,-1.33387,0.853568
-0.00072838,-1.54927,0.87922
-0.000820036,-1.8275,0.929756
-0.000862142,-2.03717,0.961429
-0.000905362,-2.2666,1.01547
-0.000904531,-2.68714,1.10919
