theta,tx,ty
6.87403e-06,1.60006,0.20348
3.02997e-06,3.07439,0.479085
3.08702e-05,4.51385,0.754503
8.40339e-06,5.80202,0.986737
3.0433e-05,7.17767,1.15143
1.17285e-05,8.38655,1.37518
2.7e-05,9.66268,1.55311
1.29527e-05,10.8113,1.74548
-2.73889e-05,11.9397,1.79559
-3.28181e-05,13.0207,2.01959
-1.33136e-05,14.0842,2.27098
-0.000154853,15.0433,2.51826
-0.000101157,16.0353,2.80564
-9.76191e-05,16.9363,3.00519
-0.000222061,17.716,3.18832
-0.000184686,18.4417,3.2943
-0.00017522,19.1509,3.57304
-0.000216152,19.9865,3.80136
-0.000183578,20.6092,3.94468
