theta,tx,ty
-3.55551e-05,-0.147524,0.0338087
-5.53721e-05,-0.264624,0.0399569
-8.27496e-05,-0.451641,0.0499284
-9.88919e-05,-0.572215,0.102461
-0.000111953,-0.713334,0.153701
-0.000125349,-0.886113,0.231954
-0.000143729,-1.03974,0.312573
-0.000169272,-1.17478,0.364757
-0.000199641,-1.30547,0.41901
-0.000217474,-1.54667,0.529444
-0.00022259,-1.776,0.61194
-0.000208281,-1.92791,0.673567
-0.000247767,-2.02396,0.698386
-0.000259008,-2.13906,0.725033
-0.000266773,-2.24644,0.746825
-0.00028509,-2.39039,0.796586
-0.000274442,-2.55804,0.877204
-0.000291716,-2.73104,0.944216
-0.00022945,-2.85313,1.05426
