theta,tx,ty
-4.60532e-05,2.09462,0.842639
-0.000105373,4.21651,1.67225
-0.000173251,6.24485,2.5189
-0.000144436,8.30275,3.35486
-0.000184355,10.2065,4.2742
-0.000201798,12.1986,5.1778
-0.000206842,14.0917,6.15263
-0.000270281,15.9363,7.1604
-0.000246761,17.7644,8.19154
-0.000289628,19.7651,9.14625
-0.000296095,21.8755,10.2815
-0.000963269,6.43077,9.23703
-0.00230463,5.39325,5.40931
-0.00262469,4.83879,5.5311
-0.00225732,5.13365,3.48592
0.000173114,3.52384,4.16902
0.000643425,7.22136,6.84438
0.00135668,3.53433,4.35712
-0.00507617,3.22811,1.52854
