theta,tx,ty
3.91995e-05,1.04357,1.81722
6.79494e-05,2.08499,3.5643
9.7706e-05,3.29681,5.2856
9.07732e-05,4.4276,7.02849
0.000156301,5.64416,8.72026
0.00139775,7.27815,-0.0363139
-0.00310137,3.5319,0.0936932
-0.000819262,3.02559,1.71918
-0.00351252,2.99097,3.55063
-0.00382844,3.02594,3.80462
-0.00611928,3.43182,5.38515
-0.00528928,4.30734,5.56527
-0.00383422,5.9957,6.86555
-0.00266571,4.63634,3.57464
-0.00108939,4.65846,2.7195
-0.00320329,4.02124,3.231
-0.00450992,4.08362,4.65358
-0.00188717,4.77762,4.89933
-0.00186477,3.46222,5.25622
