theta,tx,ty
-2.24398e-05,0.0171357,-0.0193712
-3.8362e-05,0.0261493,-0.0347852
-6.88773e-05,0.0304422,-0.0502409
-9.21028e-05,0.0279816,-0.0619238
-0.000123158,0.0359838,-0.0837084
-0.000163984,0.0471016,-0.10957
-0.000197518,0.0543823,-0.150133
-0.000216694,0.059277,-0.188279
-0.000244326,0.0688875,-0.234788
-0.0002747,0.0719252,-0.294825
-0.000298414,0.0455012,-0.37932
-0.000304924,0.00747998,-0.444276
-0.000296758,-0.0295864,-0.488077
-0.000299881,-0.03847,-0.491791
-0.000300389,-0.0643808,-0.51002
-0.000272346,-0.150929,-0.553095
-0.000206706,-0.242457,-0.590203
-0.000203422,-0.324363,-0.633595
-0.00019604,-0.416287,-0.687529
