theta,tx,ty
-2.23965e-05,-0.145768,0.0527683
-7.75777e-05,-0.283084,0.124172
-0.000129987,-0.44916,0.188057
-0.000157256,-0.666631,0.268069
-0.000179169,-0.851335,0.321332
-0.000176737,-1.00618,0.370085
-0.000193905,-1.14021,0.408448
-0.000233636,-1.3179,0.483869
-0.000242794,-1.47678,0.56761
-0.000254655,-1.57269,0.632096
-0.000271815,-1.64887,0.651834
-0.000262834,-1.70815,0.676261
-0.000291272,-1.76603,0.681997
-0.000312704,-1.84287,0.697724
-0.000345361,-1.90301,0.730736
-0.000348423,-1.97492,0.733851
-0.000349141,-2.06553,0.735666
-0.000383825,-2.13431,0.755231
-0.000426117,-2.19537,0.75633
