theta,tx,ty
3.4836e-05,-0.0782093,-0.0188206
6.84126e-05,-0.201968,-0.033753
9.60557e-05,-0.385707,-0.0494932
0.000121677,-0.558263,-0.0565326
0.000124743,-0.753042,-0.0843765
0.000162814,-0.884883,-0.113613
0.000156627,-0.992223,-0.140257
0.000206646,-1.09148,-0.162987
0.000238711,-1.17797,-0.193558
0.000259787,-1.27336,-0.220671
0.000309229,-1.43402,-0.248436
0.000328833,-1.54697,-0.265098
0.000365307,-1.6438,-0.280541
0.000386552,-1.75871,-0.283594
0.000409591,-1.83445,-0.292497
0.00044711,-1.92868,-0.31093
0.000513779,-2.05284,-0.33033
0.000575043,-2.12806,-0.334995
0.000679452,-2.28545,-0.304909
