theta,tx,ty
-4.71664e-05,1.14006,0.53503
-1.74231e-05,2.28671,1.04016
-6.10045e-06,3.36093,1.56252
1.13879e-05,4.57623,2.02581
7.56529e-05,5.65803,2.44838
3.21745e-05,6.87664,2.78882
4.04677e-06,8.07612,3.08939
4.32204e-05,9.27053,3.43197
2.93925e-07,10.426,3.68337
9.60397e-07,11.6263,3.93739
-1.96704e-05,12.8425,4.13332
4.44299e-06,14.0714,4.35327
-1.82825e-05,15.3526,4.54948
0.00051448,16.5355,4.68639
-0.00260722,18.2433,4.40626
-0.00155464,7.91712,5.76515
-0.00261562,7.83123,5.4236
-0.00324198,8.64747,6.14649
-0.000678835,6.01163,2.70204
