theta,tx,ty
-3.08109e-05,1.17016,0.586632
-5.16866e-05,2.30782,1.10731
-0.000100623,3.55412,1.73719
-0.000116866,4.66599,2.2519
-0.000151542,5.74537,2.81992
-0.000197715,6.71576,3.25575
-0.000231885,7.74485,3.81448
-0.000240949,8.70814,4.25411
-0.000308572,9.56643,4.72189
-0.000342496,10.4734,5.10248
-0.000407001,11.3654,5.52709
-0.000382931,12.2323,5.9401
-0.00051315,13.0598,6.36575
-0.000496442,13.838,6.74604
-0.000510888,14.4822,7.1634
-0.000579632,15.2127,7.57518
-0.00060267,15.8698,7.8952
-0.000658829,16.4749,8.22618
-0.000442724,16.9201,7.89679
