x,y,z
2.2060099,0.18447113,-1.0933816
2.206078,0.18426585,-1.0934048
2.2070231,0.18419683,-1.0934954
2.2070642,0.18399219,-1.0935161
2.207106,0.18386284,-1.0935307
2.2071793,0.18368539,-1.0935519
2.2072065,0.18351279,-1.0935688
2.2072496,0.1833385,-1.0935872
2.2072673,0.18314496,-1.0936048
2.206463,0.18288231,-1.0935545
2.2064276,0.18237028,-1.093594
2.206387,0.18184292,-1.0936342
2.2046375,0.18098915,-1.0935483
2.2046013,0.1804257,-1.0935919
2.2053635,0.18009141,-1.0936881
2.2052956,0.17969474,-1.0937151
2.2052393,0.17913157,-1.0937569
2.2051833,0.17870972,-1.093787
2.20508,0.1782111,-1.0938191
2.205181,0.17691186,-1.0939364
2.2026148,0.17582692,-1.0937965
2.2024987,0.1753991,-1.0938215
2.2017772,0.17746958,-1.0935845
2.201726,0.17701465,-1.0936178
2.201611,0.17657349,-1.0936441
2.201521,0.17609361,-1.0936761
2.2014565,0.17572343,-1.0937011
2.201395,0.17525557,-1.0937345
2.201228,0.1748465,-1.0937536
2.1990337,0.19873588,-1.0915682
2.2006927,0.1985222,-1.091735
2.1987872,0.19741501,-1.0916562
2.1985722,0.19678211,-1.0916896
2.197884,0.19788875,-1.0915357
2.1977015,0.19718345,-1.091578
2.1975865,0.19656631,-1.091619
2.1973758,0.19589983,-1.0916556
2.1966646,0.19701017,-1.0914993
2.1966755,0.19548704,-1.0916271
2.1945012,0.19532318,-1.0914457
2.194292,0.19474481,-1.091475
2.1948118,0.19424021,-1.0915637
2.1948276,0.19276807,-1.0916877
2.1941595,0.19384895,-1.0915377
2.1940017,0.1933238,-1.0915673
2.1920705,0.19231562,-1.0914779
2.1913986,0.19349816,-1.0913191
2.1912494,0.19286135,-1.0913588
2.191005,0.19220324,-1.0913916
2.1908922,0.19163138,-1.0914291
2.1902847,0.19088438,-1.0914369
2.1893544,0.19204901,-1.0912564
2.1888132,0.19141456,-1.0912606
2.1882763,0.19068258,-1.0912733
2.187097,0.19269988,-1.0909996
2.1868424,0.1910524,-1.0911139
2.1860964,0.19125508,-1.0910301
2.1839647,0.18927121,-1.0910039
2.1828136,0.19138795,-1.0907245
2.1824641,0.18972021,-1.0908319
2.181837,0.18989444,-1.0907612
2.1813374,0.18913823,-1.0907792
2.1803856,0.19035067,-1.0905929
2.179899,0.18955691,-1.0906153
2.179545,0.1879304,-1.0907189
2.179043,0.18723348,-1.0907319
2.1783247,0.18731967,-1.0906602
2.1780646,0.18575138,-1.0907674
2.1769972,0.18777578,-1.0905032
2.1765046,0.18706799,-1.0905178
2.175692,0.18644112,-1.090497
2.1748846,0.18576506,-1.0904809
2.1735828,0.18707046,-1.0902555
2.1727772,0.18632942,-1.0902448
2.1722002,0.18474951,-1.0903246
2.1713295,0.18497753,-1.0902275
2.170539,0.18427879,-1.0902147
2.1697268,0.18359436,-1.0901988
2.168464,0.18485683,-1.0899804
2.1679168,0.18329576,-1.0900612
2.1663504,0.18243763,-1.089992
2.1681933,0.18230043,-1.0901688
2.167428,0.18162942,-1.0901561
2.1666942,0.18095505,-1.0901463
2.1659005,0.18024772,-1.0901339
2.1644397,0.18230058,-1.0898321
2.1628132,0.1813498,-1.0897652
2.1620338,0.18064347,-1.0897541
2.1613607,0.17994311,-1.089752
2.1606114,0.17916447,-1.0897496
2.1596212,0.17854396,-1.0897124
2.1586547,0.17790288,-1.089679
2.157648,0.17728518,-1.0896399
2.1575227,0.1768778,-1.0896627
2.1556568,0.17604975,-1.0895641
2.1547475,0.17546661,-1.0895312
2.1537533,0.1748215,-1.0894955
