x,y,z
2.2016752,0.29177228,-1.0840619
2.2009325,0.29175407,-1.0839968
2.2002196,0.29172647,-1.083935
2.199449,0.29177105,-1.0838622
2.2005892,0.29232526,-1.0839183
2.1998982,0.292386,-1.0838513
2.1996214,0.28968474,-1.0840514
2.2007217,0.29018974,-1.084108
2.200039,0.29013163,-1.0840515
2.1993158,0.2901197,-1.0839877
2.2004519,0.29063028,-1.0840471
2.1996803,0.2906394,-1.083977
2.1989717,0.29067177,-1.0839108
2.2001293,0.29117644,-1.0839727
2.198954,0.289105,-1.0840397
2.1990826,0.2892756,-1.084037
2.2004154,0.28994712,-1.0841007
2.201694,0.29051495,-1.0841682
2.201056,0.2904399,-1.0841172
2.1994414,0.29024893,-1.0839882
2.2014446,0.29105175,-1.0841011
2.2009358,0.2910931,-1.0840521
2.2022674,0.291614,-1.0841281
2.2020872,0.2898767,-1.0842565
2.200496,0.29044396,-1.0840666
2.2020144,0.2901509,-1.0842272
2.2023046,0.2904135,-1.0842314
2.202797,0.29081178,-1.0842425
2.2029781,0.2910409,-1.0842396
2.202344,0.2909957,-1.0841864
2.2017467,0.29100287,-1.0841323
2.2025733,0.28947365,-1.0843337
2.2028446,0.28977948,-1.0843327
2.2022161,0.28986102,-1.0842695
2.2026553,0.29018623,-1.0842817
2.2020295,0.29023072,-1.0842218
2.2022424,0.29045525,-1.0842223
2.201348,0.29129505,-1.0840722
2.202719,0.29094762,-1.0842241
2.202031,0.29102242,-1.0841562
2.2014072,0.29106462,-1.0840967
2.200171,0.29177552,-1.0839266
2.199995,0.29175502,-1.0839125
2.1998591,0.29181194,-1.0838954
2.2019503,0.29057682,-1.084186
2.201806,0.2906587,-1.0841663
2.201661,0.29064864,-1.0841541
2.2014985,0.2906878,-1.0841362
2.2012568,0.29071468,-1.0841123
2.200989,0.29070824,-1.0840888
2.2025518,0.29125616,-1.0841835
2.20228,0.29131782,-1.0841539
2.2020812,0.29135612,-1.0841329
2.2018766,0.29142,-1.0841092
2.2016487,0.29144195,-1.0840869
2.2014353,0.29142606,-1.084069
