theta,tx,ty
5.58974e-05,-0.0806253,0.00686072
8.94183e-05,-0.152865,0.0165842
8.53107e-05,-0.123492,0.00563328
0.000134449,-0.231993,-0.00895563
8.94512e-05,-0.161223,-0.0250409
0.000111535,-0.155549,-0.0609357
0.000102394,-0.142924,-0.0581434
0.000130492,-0.156333,-0.100516
0.000117339,-0.13086,-0.104053
0.000123754,-0.108503,-0.15554
0.000141569,-0.124451,-0.186453
0.000147482,-0.0645227,-0.242768
0.000173055,-0.0731613,-0.268931
0.000103946,-0.0557303,-0.315209
0.000163287,-0.072639,-0.353854
0.000113316,-0.0319146,-0.438646
0.000147435,-0.041951,-0.393859
0.000138948,-0.043499,-0.491327
0.000158733,-0.0490538,-0.498837
0.0001711,-0.052227,-0.539128
0.000127094,-0.00632987,-0.591831
0.000112689,0.00670605,-0.567061
6.10256e-05,0.0105034,-0.564239
0.000100569,0.0121309,-0.665682
9.26985e-05,0.0241933,-0.630164
7.39972e-05,0.0229401,-0.67523
9.14194e-05,0.0584052,-0.649043
7.15126e-05,0.116106,-0.723881
3.49764e-05,0.104149,-0.738512
7.03977e-05,0.0540587,-0.783424
5.94859e-05,0.125892,-0.829505
9.16445e-05,0.0744132,-0.860902
2.55295e-05,0.0809018,-0.878727
8.06353e-05,0.166446,-0.874485
-2.0445e-05,0.0913594,-0.80369
-4.01174e-05,0.210934,-0.902458
6.96497e-05,0.197869,-0.875416
1.20917e-05,0.205732,-0.961712
4.32154e-05,0.113048,-0.887614
1.76435e-05,0.189933,-0.980952
-5.18458e-05,0.178823,-0.91488
-1.87217e-05,0.175451,-0.990277
2.01517e-05,0.244826,-1.01347
-1.51196e-05,0.184596,-0.996388
-1.06843e-05,0.200303,-1.02361
1.43881e-05,0.213449,-0.998345
8.58168e-06,0.206,-1.06578
1.8496e-05,0.15793,-1.02083
3.73786e-05,0.201592,-1.0691
5.59174e-05,0.135373,-1.1108
7.09907e-07,0.136868,-1.09785
3.43723e-05,0.14261,-1.17087
1.3855e-05,0.300014,-1.16605
1.95797e-05,0.341667,-1.21436
-2.87743e-05,0.378963,-1.15487
2.01806e-05,0.464476,-1.24019
3.69876e-06,0.603246,-1.24283
-1.81796e-05,0.6903,-1.22417
5.83705e-05,0.641676,-1.21682
2.79161e-05,0.756483,-1.22524
3.30943e-06,0.754419,-1.21116
-3.3305e-06,0.765718,-1.22662
5.38753e-05,0.793011,-1.28556
3.28063e-05,0.829322,-1.35762
-1.21426e-05,0.78418,-1.25439
-1.12606e-06,0.813031,-1.25729
1.15867e-05,0.935011,-1.24528
-3.21457e-05,0.869897,-1.19639
-2.24169e-05,0.930864,-1.19489
8.55795e-06,0.988305,-1.16051
-4.15016e-06,0.98809,-1.20024
-7.27608e-06,1.00012,-1.19547
3.60732e-05,1.02892,-1.12001
-4.06346e-05,1.06441,-1.05902
1.67919e-05,1.05389,-1.11159
-4.60203e-05,1.16172,-1.04249
2.74595e-05,1.08973,-1.1195
8.25421e-09,1.10786,-1.03621
-7.68045e-06,1.14889,-1.0382
-9.12309e-06,1.18804,-1.07525
1.73352e-05,1.24637,-1.02159
6.05591e-06,1.2155,-1.02282
3.17739e-06,1.22114,-1.027
-4.62909e-06,1.24974,-1.02053
4.32739e-06,1.28664,-1.00432
1.20106e-05,1.31806,-1.01175
2.00899e-05,1.34019,-1.00608
2.79139e-05,1.3981,-0.99617
1.14319e-05,1.45554,-0.999164
4.79225e-05,1.4468,-0.934748
-1.8412e-05,1.45679,-0.933892
-1.79553e-05,1.58207,-0.960741
3.75674e-05,1.49842,-0.952061
8.73426e-06,1.52515,-0.947606
9.66605e-06,1.52164,-0.87835
-1.28059e-05,1.65035,-0.966498
2.54021e-05,1.52776,-0.843143
-1.18696e-05,1.60401,-0.931124
-4.12139e-05,1.69076,-0.894299
3.05791e-06,1.70277,-0.915667
2.196e-05,1.71934,-0.820161
3.03105e-05,1.72153,-0.863104
1.2271e-05,1.73331,-0.820655
2.8082e-06,1.74572,-0.83267
2.67046e-05,1.73425,-0.81395
-1.1642e-06,1.72728,-0.768788
-2.44473e-05,1.76473,-0.781026
2.04965e-06,1.83446,-0.786505
