frame_index,R_cam_to_world_as_rotvec_x,R_cam_to_world_as_rotvec_y,R_cam_to_world_as_rotvec_z,t_cam_to_world_x,t_cam_to_world_y,t_cam_to_world_z
0,0.36388104886317424,-3.115218852742205,0.006424148707083493,2.332665508401931,0.32088516308689874,-0.1293410278598272
20,0.36264330273480416,-3.1126710610657597,0.006196341484664934,2.317519655228415,0.322197176178691,-0.12518031914384312
40,0.36293460467893934,-3.106886191839242,0.0050471520147354395,2.3078946855396176,0.3237040907435458,-0.12341835567350402
60,0.36335756529925967,-3.10470768498392,0.004115922119658397,2.304110345146914,0.3247072668493134,-0.12540429504907435
80,0.3635997160376755,-3.10682604486597,0.003573286504318798,2.3018488040215495,0.32541442487055483,-0.12925463440278329
100,0.3634622414443781,-3.1092408269869907,0.0030320655875131614,2.300311576808415,0.3262084346181813,-0.1325530824598044
120,0.36271204596780865,-3.111247385358983,0.0015726365992000482,2.299749678979383,0.32620035437646006,-0.13464574758566583
140,0.36241567217936005,-3.112693021677859,0.001542511421010732,2.299759967478657,0.3261283437567955,-0.1338664677234896
160,0.36137292881309047,-3.114165476141696,0.0008840412157110913,2.3001880906958347,0.32574621117179725,-0.13236182216499764
180,0.357284059897733,-3.117566054896225,0.00014102316104922834,2.2995384915337342,0.3215017896902671,-0.13070889129496274
200,0.3555734902622989,-3.119724078996353,-0.0005489061185856028,2.298225490397943,0.3106050823022748,-0.12966112067112776
220,0.3540272783510463,-3.121110517751001,-0.0008923430654661301,2.2952760715803167,0.29519535381519907,-0.12932839266325233
240,0.35289759087269273,-3.1210332773618394,-0.00035475013823499407,2.2863373742232875,0.2788632412029787,-0.12808111935601563
260,0.35167418847259974,-3.120850073118979,1.4032189543755817e-06,2.2713248317811683,0.26394392524697596,-0.1256108286655818
280,0.35078739539635134,-3.1207196515866245,0.00082354580387981,2.251443223437473,0.25089448934361125,-0.12371218833649691
300,0.349794833158194,-3.1210038327845924,0.0013413890561524804,2.227597658486584,0.23879728539500958,-0.12285383716423277
