theta,tx,ty
-5.54286e-05,-0.121706,0.0628763
-0.000101684,-0.213098,0.088759
-0.000213796,-0.342858,0.143045
-0.000311258,-0.483607,0.205151
-0.000354436,-0.61055,0.246733
-0.000413477,-0.706633,0.28721
-0.000499228,-0.817,0.352036
-0.000570973,-0.911984,0.412409
-0.000619838,-0.963132,0.474034
-0.000680511,-1.02613,0.521915
-0.000707871,-1.08237,0.567745
-0.000753867,-1.15162,0.598635
-0.000815242,-1.22266,0.653223
-0.00089336,-1.2966,0.720826
-0.000941343,-1.32494,0.797651
-0.000995047,-1.34865,0.884183
-0.00108702,-1.4541,0.941862
-0.0011132,-1.46168,0.951399
-0.00115859,-1.55521,0.944413
