theta,tx,ty
3.26008e-06,-0.0213172,-0.00690743
2.38165e-06,-0.0884035,-0.0103305
-8.69007e-06,-0.127164,-0.0114103
-2.79802e-05,-0.153251,-0.0120363
-3.86945e-05,-0.173938,-0.00962405
-2.53941e-05,-0.21406,-0.00815105
-1.84417e-05,-0.238728,-0.00828904
-9.74661e-06,-0.290184,-0.00829622
-6.17963e-06,-0.315782,-0.00842691
-2.74136e-05,-0.388918,0.010398
-4.16864e-05,-0.390245,0.0189766
-5.95739e-05,-0.391493,0.0305244
-8.66036e-05,-0.394241,0.0633186
-0.000123667,-0.398103,0.0979139
-0.000138725,-0.366609,0.129191
-0.000151858,-0.340716,0.153473
-0.000168682,-0.312045,0.167847
-0.000201735,-0.27763,0.181367
-0.000243621,-0.234651,0.21047
