theta,tx,ty
-5.71887e-05,0.821989,0.316243
-0.000113181,1.57621,0.663481
-0.000131869,2.29233,0.948335
-0.000180747,3.04641,1.19825
-0.00022223,3.74402,1.4872
-0.000226256,4.28181,1.77603
-0.000186536,4.92594,1.99187
-0.000271652,5.46297,2.22598
-0.000317063,5.99289,2.49847
-0.000361622,6.45628,2.76394
-0.000324924,6.78683,2.92507
-0.000347518,7.06257,3.09452
-0.000422543,7.34642,3.28251
-0.000510522,7.63735,3.48262
-0.00050896,7.86786,3.68653
-0.000503309,8.03968,3.84724
-0.00049977,8.19455,3.99067
-0.000495215,8.29188,4.11082
-0.000546537,8.32664,4.22515
