theta,tx,ty
-1.98463e-05,2.27454,1.0434
-4.38968e-05,4.51715,2.05891
-7.547e-05,6.83858,3.07163
-9.75168e-05,9.11289,4.15716
-0.000147849,11.3713,5.23291
-0.0001902,13.6958,6.31773
-0.000213552,15.8778,7.33112
-0.00027782,18.1816,8.37129
-0.000184138,20.4947,9.4941
-0.000143799,22.7614,10.5839
0.000967933,8.37389,11.9225
-8.43009e-05,12.0372,13.8967
0.000123017,4.95834,7.81306
0.00120456,4.99059,6.49616
0.00205792,7.01821,6.69918
0.00134487,4.66168,6.10471
0.00111834,4.8026,5.81786
0.000885656,4.96247,6.09083
0.000659596,4.97099,6.98271
