theta,tx,ty
2.46803e-05,0.998704,2.06437
7.4282e-05,2.05259,4.17865
0.000171092,2.96226,6.30678
0.000282729,3.90608,8.42121
0.000149399,4.76944,10.3969
0.00252761,8.74153,4.71361
-0.000385682,5.48702,2.26692
-0.000996724,5.39894,3.36878
0.000262399,6.41243,2.99019
-0.00564572,2.78893,3.71031
-0.00197121,2.46697,2.96404
-0.00147132,2.83521,3.39644
-0.00142177,2.89865,3.32455
0.000581183,2.40475,2.23899
-0.000500802,3.28592,2.56277
-0.00110689,3.64177,1.86919
-0.00182122,4.39568,2.38258
0.000658143,3.8138,3.38723
0.00189991,2.98047,3.2423
