theta,tx,ty
-1.92441e-05,-0.0917633,0.0171314
-4.15925e-05,-0.22785,0.0375384
-3.80088e-05,-0.417044,0.100581
9.6947e-06,-0.620279,0.182782
9.50953e-06,-0.807128,0.206662
1.60865e-06,-0.933716,0.222806
-3.02145e-05,-1.03609,0.26837
-4.72898e-05,-1.14131,0.311616
-2.39601e-05,-1.25692,0.344103
4.75097e-06,-1.40308,0.380599
3.85379e-06,-1.61391,0.490568
-2.74517e-05,-1.66781,0.510911
-3.68075e-05,-1.8358,0.515608
-3.47302e-05,-1.92825,0.524699
-2.82011e-05,-2.04548,0.553548
-2.94387e-05,-2.15456,0.575578
-1.98136e-05,-2.31847,0.600103
-5.00959e-06,-2.4963,0.627946
2.19225e-05,-2.78106,0.663191
