theta,tx,ty
-2.94017e-05,-0.147157,0.0611347
-6.92418e-05,-0.286443,0.122196
-0.000117113,-0.458758,0.181749
-0.0001422,-0.627824,0.243595
-0.000214292,-0.760287,0.327923
-0.000244977,-0.959036,0.466679
-0.000275976,-1.03262,0.606825
-0.000293228,-1.10151,0.714945
-0.000349556,-1.24839,0.788911
-0.000386855,-1.43113,0.861843
-0.000447967,-1.53511,0.983752
-0.000511464,-1.62176,1.07895
-0.000578371,-1.74601,1.17389
-0.000609064,-1.85846,1.25068
-0.000673492,-1.96463,1.34111
-0.000723284,-2.08205,1.40857
-0.000767043,-2.15471,1.44633
-0.000799878,-2.22672,1.48579
-0.00083919,-2.36883,1.54276
