theta,tx,ty
-1.49907e-05,0.00999769,0.0382203
-1.51544e-05,0.0121529,0.0415703
-3.58768e-05,0.0140203,0.0695688
-6.03752e-05,0.0149745,0.103168
-7.07493e-05,0.0178739,0.123404
-8.27385e-05,0.0290806,0.148282
-8.98329e-05,0.0292039,0.155513
-9.00962e-05,0.023613,0.157013
-0.000109846,0.00958756,0.160439
-0.000128992,0.0131886,0.165458
-0.000211449,0.0243396,0.221418
-0.000304815,0.035616,0.282927
-0.000402561,0.0585431,0.400741
-0.000475891,0.0879274,0.529281
-0.000506568,0.124516,0.74344
-0.000572302,0.165317,0.941441
-0.00067493,0.226047,1.23174
-0.000778091,0.26699,1.53604
-0.000855113,0.314058,1.88872
