theta,tx,ty
-6.30876e-06,2.24303,-1.48263
-7.25304e-05,4.5858,-2.99489
-0.00017784,6.85127,-4.49453
-0.00013156,9.13819,-5.95582
-0.0001765,11.4005,-7.41185
-0.000189383,13.6054,-8.92392
-0.000268116,15.9085,-10.3895
-0.000259168,18.188,-11.8675
-0.000806271,19.8812,-13.3096
-0.00087611,23.4989,-13.7872
-0.00331834,7.00302,-8.09572
-0.00202801,7.11506,-7.52618
-0.0045529,10.2572,-11.1458
0.00370695,5.77794,-5.39871
0.00486706,6.67212,-6.77055
0.003462,5.75345,-5.92692
0.00377178,6.07314,-6.56501
0.00644557,6.15781,-7.90357
0.00103418,5.54506,-7.84659
