theta,tx,ty
-0.000177132,1.81307,1.26749
-0.000341807,3.66356,2.62295
-0.000430203,5.5275,3.96093
-0.00062344,7.27435,5.33029
-0.000714702,9.05411,6.70241
-0.000921668,11.0378,8.09976
-0.00096691,12.7319,9.47374
-0.00725885,4.54211,6.75002
-0.00223685,2.61676,4.18939
-0.00279805,4.86902,3.68826
-0.00189471,5.07631,3.2887
-0.00219988,7.03002,3.68129
-0.00204671,5.11021,3.09188
-0.00126042,3.32926,3.95684
-0.00217282,4.31054,3.34402
-0.00373276,4.07858,2.43647
0.000338492,2.42473,2.96154
0.000195322,1.8237,2.24141
0.000184392,3.24132,1.23564
