theta,tx,ty
-7.72172e-05,0.0602023,0.428238
-9.08448e-05,0.131779,0.848753
-9.11565e-05,0.292935,1.25637
-0.00015517,0.379079,1.78645
-0.000241573,0.456078,2.27399
-0.000324497,0.549015,2.78911
-0.000462028,0.695247,3.41709
-0.000508683,0.717969,3.95917
-0.000610706,0.804255,4.61995
-0.000731258,0.889853,5.28242
-0.000820848,0.957768,5.98393
-0.000873883,1.0093,6.6996
-0.00096139,1.16742,7.44678
-0.00107335,1.22662,8.1738
-0.0011148,1.27036,8.93312
-0.00122198,1.33445,9.80849
-0.00129286,1.41353,10.6422
-0.00135713,1.47533,11.5617
-0.00149658,1.57597,12.4505
