theta,tx,ty
4.40671e-05,2.94014,-0.787129
2.89967e-05,5.74532,-1.52493
3.52338e-05,8.45322,-2.25144
-4.07827e-06,11.2755,-2.92845
-0.000119748,13.8864,-3.5982
-0.000173281,16.422,-4.08121
-0.000287179,19.0069,-4.66011
-0.000232792,21.4322,-5.21919
5.6374e-05,25.0484,-6.37358
0.00387873,10.1682,-2.87067
-0.00103797,7.58401,-0.0484089
-0.00138558,7.20616,0.806668
0.000448527,6.33258,-0.171475
0.00380293,4.95763,-0.49874
0.00396173,5.37372,-0.674573
0.000400674,5.82255,-0.888445
-0.00262926,7.76133,-1.00191
-0.00124133,4.42684,0.708062
-0.0023809,3.18188,0.14757
