theta,tx,ty
-8.07745e-05,-0.255227,-0.185258
-8.59858e-05,-0.563253,-0.41528
-0.000106207,-0.827087,-0.682018
-9.46405e-05,-1.1927,-0.990098
-0.000124728,-1.5431,-1.25119
-0.000172155,-1.81672,-1.59025
-0.00018857,-2.04483,-1.92909
-0.000236653,-2.40632,-2.18704
-0.000236659,-2.73649,-2.46507
-0.000177201,-3.11129,-2.81733
-0.000221995,-3.44733,-3.09024
-0.000295081,-3.85628,-3.36324
-0.000238602,-4.17671,-3.76939
-0.000287242,-4.62257,-4.08129
-0.000364694,-4.93644,-4.39037
-0.000267102,-5.38326,-4.77028
-0.000243543,-5.68231,-5.03316
-0.000280231,-6.11493,-5.50869
-0.000271214,-6.59315,-5.87861
