theta,tx,ty
3.63343e-05,-0.21351,0.00131884
4.94504e-05,-0.476044,0.00472351
8.95069e-05,-0.707256,0.00696634
0.000129166,-0.934474,0.0124274
0.000147068,-1.10596,0.0161078
0.000172021,-1.30566,0.0261352
0.000243066,-1.49824,0.0555498
0.000293322,-1.63027,0.0838795
0.000340432,-1.8421,0.102848
0.000371839,-2.01166,0.120601
0.000410745,-2.18911,0.127934
0.000428824,-2.37796,0.13326
0.000441782,-2.57011,0.135693
0.000465673,-2.75152,0.143597
0.000472238,-2.96928,0.140352
0.000503389,-3.12071,0.146141
0.000551846,-3.28735,0.153046
0.00058068,-3.47436,0.163131
0.000643256,-3.66874,0.184703
