theta,tx,ty
-7.44358e-05,-0.492776,-0.865883
-0.000152399,-1.00241,-1.71695
-0.000183205,-1.50903,-2.55399
-0.00021454,-1.96268,-3.3125
-0.000252307,-2.6046,-4.06376
-0.000247391,-3.15,-4.84782
-0.000209068,-3.7679,-5.62526
-0.000288599,-4.42153,-6.36811
-0.000329303,-5.08306,-7.2012
-0.000307391,-5.77522,-7.91804
-0.000329754,-6.35704,-8.64844
-0.000356134,-7.10388,-9.40076
-0.000339149,-7.76238,-10.067
-0.000356248,-8.59761,-10.8273
-0.000399358,-9.35564,-11.5239
-0.000405494,-10.1101,-12.2629
-0.00222149,-11.1385,-14.2577
0.00154455,-1.98629,-4.95793
0.0048003,-2.67385,-8.18382
