theta,tx,ty
2.86659e-05,0.74084,-0.0203146
7.54638e-05,1.43476,-0.0182231
0.000110887,2.30409,-0.0377229
0.000133952,3.18579,-0.0748514
0.000200422,4.09763,-0.131528
0.000310543,5.04616,-0.183184
0.000325236,6.03971,-0.227595
0.000392474,7.00521,-0.2501
0.000443474,7.96749,-0.274984
0.00049134,9.12428,-0.321797
0.00059991,10.1411,-0.328919
0.000668905,11.2064,-0.298991
0.000681419,12.4506,-0.232742
0.000728808,13.4601,-0.107635
0.000713061,14.6474,-0.0333848
0.000793638,15.8651,0.0550563
0.00087915,16.909,0.105073
0.000901815,18.0965,0.193289
0.000882544,19.3659,0.251012
