theta,tx,ty
-1.50375e-05,-0.133208,0.0505347
-3.10342e-06,-0.241387,0.135548
1.23202e-06,-0.399433,0.211761
-2.59057e-05,-0.555039,0.285522
-5.12221e-05,-0.707808,0.372296
-1.78838e-05,-0.814878,0.489128
-1.81043e-05,-0.895553,0.592019
-5.43303e-05,-0.920638,0.657994
-9.31039e-05,-0.944632,0.71536
-5.15449e-05,-0.968734,0.858722
-7.4489e-05,-1.00255,0.947069
-3.79281e-05,-1.05312,1.00514
-2.78177e-05,-1.06064,1.04889
-6.75797e-05,-1.07132,1.18484
-9.27797e-05,-1.09288,1.25188
-4.26926e-05,-1.13144,1.35946
-4.49831e-05,-1.14921,1.44326
-5.41663e-05,-1.17547,1.51602
-1.7505e-05,-1.18263,1.66434
