theta,tx,ty
-1.63623e-05,0.878882,0.00434147
5.87361e-06,1.69912,0.0268186
3.2416e-05,2.56322,0.0556128
5.14349e-05,3.45937,0.109902
9.08988e-05,4.43123,0.109635
0.000153294,5.34823,0.127091
0.000115961,6.29689,0.136199
0.00018118,7.33907,0.202819
0.000223247,8.4858,0.273857
0.000213427,9.56314,0.301109
0.000236014,10.7533,0.308971
0.000238941,11.9156,0.295573
0.000278366,13.1056,0.313129
0.000320892,14.1895,0.318781
0.000343305,15.4357,0.34139
0.000321399,16.6767,0.326666
0.000340381,17.8564,0.351552
0.000365196,19.0745,0.332982
0.000141752,20.1809,-0.128181
