theta,tx,ty
-2.22582e-06,-0.00591422,-0.0245933
-5.2384e-06,-0.0107229,-0.0589634
-4.76331e-05,-0.0108861,-0.133671
-6.17915e-05,-0.0021348,-0.176521
-5.69145e-05,0.00353787,-0.26852
-6.5972e-05,0.0102565,-0.360742
-9.81089e-05,0.00875194,-0.450217
-0.000117395,0.0103043,-0.573697
-0.000117288,0.0146907,-0.672339
-0.0001314,0.0185926,-0.755888
-0.000103076,0.0116507,-0.856456
-0.000106571,0.0112101,-0.85535
-0.000121699,-0.00238153,-0.884475
-0.000148569,-0.0126499,-0.928853
-0.00014677,-0.029975,-0.960011
-0.000146329,-0.0463373,-0.983762
-0.000142005,-0.0529292,-1.02748
-0.000145076,-0.0561053,-1.06525
-0.000164015,-0.0439498,-1.121
