theta,tx,ty
-2.705e-05,-0.0908172,-0.0642861
-6.71181e-05,-0.197433,-0.111846
-8.39197e-05,-0.282014,-0.180568
-9.69186e-05,-0.351309,-0.256044
-0.000114429,-0.414815,-0.305616
-0.000144941,-0.486451,-0.357128
-0.000170472,-0.590785,-0.39325
-0.000191471,-0.685471,-0.434594
-0.000202932,-0.800737,-0.479635
-0.000231018,-0.877288,-0.517959
-0.00026963,-0.944878,-0.56329
-0.000310508,-0.994194,-0.598321
-0.000312825,-1.07376,-0.637307
-0.000287688,-1.14856,-0.677043
-0.000299467,-1.23115,-0.736425
-0.000322262,-1.26809,-0.802085
-0.000342577,-1.31716,-0.860847
-0.000394932,-1.36136,-0.909193
-0.000449325,-1.44716,-0.959333
