theta,tx,ty
-8.19192e-05,0.107214,0.28526
-0.000212126,0.232389,0.639964
-0.000212121,0.413792,0.991181
-0.000277278,0.575812,1.35438
-0.000314522,0.718948,1.81001
-0.00040511,0.880304,2.25192
-0.000435619,1.04449,2.75129
-0.00047546,1.1292,3.22805
-0.000547051,1.31293,3.74939
-0.000611056,1.42469,4.3064
-0.000769213,1.50856,4.8933
-0.000844012,1.71053,5.50494
-0.000899632,1.74187,6.18868
-0.000999942,1.83659,6.85077
-0.00107479,1.89827,7.5275
-0.00118067,2.08576,8.28921
-0.00123839,2.22344,9.04976
-0.00130853,2.33964,9.81404
-0.00558698,1.30218,11.859
