theta,tx,ty
3.77513e-05,0.995992,1.44587
1.53683e-05,1.95381,2.96138
6.95545e-05,2.85255,4.43892
4.41462e-05,3.66373,5.93291
8.53723e-05,4.43459,7.41279
5.44009e-05,5.1411,8.99244
9.20915e-05,5.85274,10.4607
-0.00209089,5.83343,12.162
0.00183761,6.30643,2.39622
0.000765351,5.25217,2.07475
-0.00521803,3.34463,1.46337
-0.00367557,3.10033,3.60199
-0.00284817,3.93981,4.29549
-0.00280495,3.34974,4.49219
-0.00382422,3.44666,5.4868
-0.00424067,3.2655,5.98999
-0.00368232,3.571,5.37217
-0.00335841,4.60162,5.77486
-0.00156905,5.21348,5.29799
