theta,tx,ty
-2.19307e-05,-0.0943629,0.0414265
-2.12004e-05,-0.111246,0.0424469
1.5173e-06,-0.170408,0.0418692
-1.85214e-05,-0.233316,0.05165
-5.90746e-05,-0.321285,0.0623216
-7.65056e-05,-0.402185,0.073038
-7.37309e-05,-0.458068,0.0841387
-9.27965e-05,-0.508019,0.0836765
-0.000135377,-0.581472,0.0903101
-0.000129683,-0.635443,0.094084
-0.000100784,-0.714323,0.0969413
-8.98485e-05,-0.779951,0.10061
-7.69993e-05,-0.853571,0.103333
-0.000102634,-0.943067,0.110695
-0.000126898,-1.03717,0.122211
-0.000115436,-1.09208,0.124393
-9.34401e-05,-1.17471,0.127148
-0.000126655,-1.29433,0.132789
-0.00013736,-1.38344,0.127651
