theta,tx,ty
-2.99793e-06,-0.00281297,0.124632
-4.21706e-05,0.0124692,0.168804
-9.94406e-05,0.0711615,0.290412
-0.000166249,0.127696,0.399162
-0.000234471,0.172562,0.514862
-0.00026135,0.228282,0.628932
-0.00029419,0.250141,0.736074
-0.00032882,0.267506,0.859995
-0.000317662,0.229937,0.929401
-0.000288036,0.189206,1.02869
-0.000315327,0.141177,1.0854
-0.000302861,0.106238,1.15138
-0.000301821,0.0651625,1.20943
-0.000307438,-0.0106891,1.2565
-0.000287318,-0.151172,1.35131
-0.000273716,-0.286648,1.44562
-0.000291857,-0.420965,1.57488
-0.000305339,-0.55872,1.69871
-0.000353917,-0.707764,1.7721
