theta,tx,ty
-7.71346e-06,-0.00292144,-0.0320986
-2.34881e-05,-0.0172059,-0.059413
-3.51749e-05,-0.0277529,-0.0803397
-4.09446e-05,-0.0453262,-0.0823059
-4.85071e-05,-0.0630369,-0.0859247
-5.01967e-05,-0.109694,-0.0876487
-6.6543e-05,-0.167826,-0.0896943
-7.22046e-05,-0.176171,-0.0880536
-7.47406e-05,-0.182822,-0.086873
-0.000117038,-0.244681,-0.073483
-0.000169992,-0.307449,-0.0585563
-0.000185605,-0.318639,-0.045211
-0.000201939,-0.32672,-0.0372878
-0.000232611,-0.413224,-0.00369908
-0.000268018,-0.479763,0.0259551
-0.000265356,-0.561121,0.0374168
-0.000262574,-0.781552,0.0488298
-0.000234947,-1.00926,0.0591545
-0.000235986,-1.26556,0.0621249
