theta,tx,ty
4.69675e-06,1.19842,-0.00413357
2.82001e-05,2.56931,-0.0154661
5.1299e-05,3.91658,0.00144506
7.00045e-05,5.19152,0.00606025
6.13974e-05,6.64456,0.00216223
8.75597e-05,8.04765,0.05172
9.1363e-05,9.4896,0.0720778
0.000111604,10.908,0.0775206
0.00015201,12.3715,0.106134
0.000153668,13.8235,0.116581
9.04543e-05,15.3223,0.146939
0.000110572,16.9095,0.195267
1.53422e-05,18.5337,0.23616
-0.000250725,20.0166,0.695774
0.00110035,9.36545,2.61687
0.00167322,6.79753,1.34758
-0.0010318,5.8775,1.84114
0.000993351,5.07963,1.49581
-0.0029246,5.8519,0.244202
